,Article 1,Article 2,Corr.
46,2019 Hong Kong extradition bill,Civil Human Rights Front,0.07186569641306675
337,Civil Human Rights Front,Demosistō,0.07185534418118861
10,12 June 2019 Hong Kong protest,Death of Chan Yin-lam,0.07132083654405538
487,Government of Hong Kong,Umbrella Movement,0.07102240034770298
373,Death of Chan Yin-lam,Lennon Wall (Hong Kong),0.07062599379827725
568,Hong Kong Way,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.06946122749820083
244,Art of the 2019–20 Hong Kong protests,Umbrella Movement,0.06661788251244168
656,List of July 2019 Hong Kong protests,"One country, two systems",0.0665297049859871
519,Hong Kong 1 July marches,List of November 2019 Hong Kong protests,0.06447441414787183
146,2019 Yuen Long attack,2019–20 Hong Kong protests,0.0640821437416261
294,Causes of the 2019–20 Hong Kong protests,List of November 2019 Hong Kong protests,0.06380327496704971
410,Death of Chow Tsz-lok,Police misconduct allegations during the 2019–20 Hong Kong protests,0.06279796820246354
135,2019 Prince Edward station attack,List of October 2019 Hong Kong protests,0.06258611725450836
192,2019–20 Hong Kong protests,Hong Kong Human Rights and Democracy Act,0.0624749396323687
