,Article 1,Article 2,Corr.
656,List_of_July_2019_Hong_Kong_protests,"One_country,_two_systems",0.4586695236266804
288,Causes_of_the_2019–20_Hong_Kong_protests,Hong_Kong–Mainland_China_conflict,0.45567198116049007
112,2019_Prince_Edward_station_attack,2019–20_Hong_Kong_protests,0.45367468862887034
507,HKmap.live,Storming_of_the_Legislative_Council_Complex,0.4535895968435522
472,Government_of_Hong_Kong,List_of_August_2019_Hong_Kong_protests,0.4529838125896214
210,2019–20_Hong_Kong_protests,Storming_of_the_Legislative_Council_Complex,0.4505594389951265
76,2019_Hong_Kong_local_elections,2019_Yuen_Long_attack,0.45034702481548666
423,Demosistō,Hong_Kong–Mainland_China_conflict,0.4475870256185017
676,List_of_November_2019_Hong_Kong_protests,List_of_protests_in_Hong_Kong,0.44682071895005626
126,2019_Prince_Edward_station_attack,Hong_Kong_Human_Rights_and_Democracy_Act,0.4452217092812454
731,Reactions_to_the_2019–20_Hong_Kong_protests,Siege_of_the_Hong_Kong_Polytechnic_University,0.44482947250436683
721,"One_country,_two_systems",Reactions_to_the_2019–20_Hong_Kong_protests,0.4444566748016522
278,Causes_of_the_2019–20_Hong_Kong_protests,Death_of_Chan_Yin-lam,0.4435534542435023
560,Hong_Kong_Human_Rights_and_Democracy_Act,List_of_protests_in_Hong_Kong,0.44209145231258173
434,Demosistō,"One_country,_two_systems",0.4415311109196525
425,Demosistō,List_of_August_2019_Hong_Kong_protests,0.44133496307271375
161,2019_Yuen_Long_attack,Hong_Kong_Way,0.44002859494491875
346,Civil_Human_Rights_Front,Lennon_Wall_(Hong_Kong),0.4373949093398587
122,2019_Prince_Edward_station_attack,Government_of_Hong_Kong,0.4367794744541752
556,Hong_Kong_Human_Rights_and_Democracy_Act,List_of_July_2019_Hong_Kong_protests,0.43499585224433107
696,List_of_protests_in_Hong_Kong,List_of_September_2019_Hong_Kong_protests,0.43344692046916117
59,2019_Hong_Kong_extradition_bill,List_of_August_2019_Hong_Kong_protests,0.4318919901398466
419,Demosistō,Hong_Kong,0.43060024749842657
671,List_of_March–June_2019_Hong_Kong_protests,Siege_of_the_Hong_Kong_Polytechnic_University,0.4305843924363311
202,2019–20_Hong_Kong_protests,List_of_October_2019_Hong_Kong_protests,0.42721686327441144
552,Hong_Kong_Human_Rights_and_Democracy_Act,Hong_Kong–Mainland_China_conflict,0.42715226014604285
182,2019–20_Hong_Kong_protests,Causes_of_the_2019–20_Hong_Kong_protests,0.421711021037786
455,Glory_to_Hong_Kong,List_of_protests_in_Hong_Kong,0.4214741973080558
